,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum
8/7/2024,81.0 °F,73.5 °F,63.7 °F,67.3 °F,64.0 °F,59.9 °F,88 %,72 %,59 %,11.2 mph,2.4 mph,0.0 mph,28.77 in,28.67 in,0.00 in
8/8/2024,79.2 °F,68.6 °F,61.2 °F,60.1 °F,56.4 °F,53.6 °F,92 %,67 %,45 %,6.9 mph,1.0 mph,0.0 mph,28.84 in,28.75 in,0.00 in
8/9/2024,84.4 °F,72.3 °F,62.6 °F,64.4 °F,59.2 °F,54.1 °F,80 %,64 %,45 %,13.7 mph,2.8 mph,0.0 mph,28.88 in,28.80 in,0.00 in
8/10/2024,85.3 °F,73.8 °F,63.7 °F,66.0 °F,63.2 °F,59.0 °F,92 %,71 %,48 %,7.6 mph,1.6 mph,0.0 mph,28.95 in,28.87 in,0.00 in
8/11/2024,88.3 °F,75.8 °F,59.7 °F,66.9 °F,61.5 °F,55.8 °F,88 %,62 %,47 %,9.2 mph,2.3 mph,0.0 mph,28.93 in,28.75 in,0.00 in
8/12/2024,97.2 °F,80.8 °F,67.3 °F,72.5 °F,65.7 °F,61.5 °F,82 %,62 %,33 %,7.6 mph,1.8 mph,0.0 mph,28.76 in,28.61 in,0.00 in
8/13/2024,96.1 °F,83.1 °F,70.7 °F,73.0 °F,66.4 °F,61.2 °F,83 %,59 %,35 %,12.3 mph,2.0 mph,0.0 mph,28.64 in,28.54 in,0.00 in
8/14/2024,75.9 °F,68.2 °F,62.4 °F,70.2 °F,65.1 °F,58.8 °F,99 %,90 %,74 %,21.9 mph,2.5 mph,0.0 mph,28.80 in,28.55 in,0.56 in
8/15/2024,84.6 °F,71.4 °F,58.1 °F,65.1 °F,61.3 °F,56.5 °F,96 %,73 %,49 %,5.4 mph,0.8 mph,0.0 mph,28.86 in,28.78 in,0.00 in
8/16/2024,83.1 °F,72.6 °F,62.8 °F,64.4 °F,58.2 °F,52.7 °F,87 %,62 %,39 %,9.8 mph,2.1 mph,0.0 mph,28.85 in,28.75 in,0.00 in
8/17/2024,79.9 °F,68.9 °F,63.5 °F,68.4 °F,63.8 °F,61.3 °F,94 %,84 %,63 %,7.4 mph,2.0 mph,0.0 mph,28.77 in,28.64 in,0.00 in
8/18/2024,72.5 °F,64.1 °F,59.7 °F,66.0 °F,61.1 °F,56.7 °F,99 %,90 %,75 %,9.8 mph,1.7 mph,0.0 mph,28.78 in,28.56 in,0.88 in
8/19/2024,76.1 °F,64.7 °F,56.7 °F,62.4 °F,57.2 °F,54.9 °F,96 %,78 %,53 %,5.4 mph,1.4 mph,0.0 mph,28.84 in,28.75 in,0.00 in
8/20/2024,80.2 °F,67.4 °F,54.1 °F,62.1 °F,57.8 °F,52.3 °F,97 %,73 %,51 %,10.7 mph,1.5 mph,0.0 mph,28.76 in,28.64 in,0.00 in
8/21/2024,70.7 °F,61.7 °F,54.5 °F,61.0 °F,52.9 °F,47.7 °F,98 %,75 %,46 %,8.1 mph,2.0 mph,0.0 mph,28.90 in,28.67 in,0.03 in
8/22/2024,76.8 °F,63.9 °F,49.5 °F,54.7 °F,51.0 °F,47.5 °F,94 %,66 %,39 %,9.0 mph,1.5 mph,0.0 mph,28.85 in,28.65 in,0.00 in
8/23/2024,78.6 °F,67.5 °F,58.1 °F,63.3 °F,56.4 °F,51.4 °F,85 %,69 %,44 %,15.7 mph,5.0 mph,0.0 mph,28.72 in,28.63 in,0.00 in
8/24/2024,88.9 °F,73.5 °F,63.3 °F,72.3 °F,62.2 °F,59.9 °F,97 %,71 %,43 %,19.7 mph,4.5 mph,0.0 mph,28.72 in,28.49 in,0.29 in
8/25/2024,71.2 °F,61.0 °F,53.4 °F,61.7 °F,52.2 °F,46.4 °F,96 %,75 %,46 %,8.3 mph,1.9 mph,0.0 mph,28.98 in,28.70 in,0.00 in
8/26/2024,75.4 °F,60.7 °F,46.0 °F,51.8 °F,48.0 °F,44.1 °F,94 %,66 %,39 %,6.0 mph,0.7 mph,0.0 mph,28.97 in,28.90 in,0.00 in
8/27/2024,79.7 °F,66.9 °F,54.0 °F,60.4 °F,54.3 °F,47.3 °F,80 %,65 %,49 %,9.2 mph,2.0 mph,0.0 mph,28.94 in,28.77 in,0.00 in
8/28/2024,88.5 °F,73.0 °F,56.7 °F,68.0 °F,62.3 °F,55.6 °F,98 %,71 %,46 %,10.5 mph,2.3 mph,0.0 mph,28.79 in,28.73 in,0.00 in
8/29/2024,91.9 °F,78.9 °F,70.3 °F,70.3 °F,65.7 °F,63.1 °F,79 %,65 %,42 %,7.2 mph,2.1 mph,0.0 mph,28.83 in,28.76 in,0.00 in
8/30/2024,83.8 °F,73.8 °F,64.0 °F,70.0 °F,65.8 °F,61.9 °F,93 %,77 %,61 %,7.4 mph,1.7 mph,0.0 mph,28.86 in,28.78 in,0.00 in
8/31/2024,88.9 °F,75.0 °F,64.6 °F,69.8 °F,66.0 °F,63.0 °F,96 %,76 %,46 %,8.1 mph,2.4 mph,0.0 mph,28.85 in,28.76 in,0.00 in